standardized_title,count,percentage,sample_description
AI Manager,1,0.03,"I. MỤC ĐÍCH: Giám đốc Trung tâm Trí tuệ Nhân sự là xây dựng và quản lý một trung tâm chuyên trách về quy hoạch và quản trị dữ liệu toàn công ty (bao gồm dữ liệu người dùng và dữ liệu nội bộ) cũng như phát triển và ứng dụng trí tuệ nhân tạo (AI) để tối ưu hóa hoạt động kinh doanh, nâng cao hiệu quả ra quyết định và tạo lợi thế cạnh tranh cho Meey Group. Vị trí này chịu trách nhiệm thiết lập chiến lược dữ liệu và AI, quản lý hoạt động của trung tâm và đảm bảo trung tâm đóng góp vào việc đạt được các mục tiêu kinh doanh thông qua việc khai thác sức mạnh của dữ liệu và AI trên toàn bộ các lĩnh vực của công ty. II. NHIỆM VỤ CỤ THỂ 1. Xây dựng chiến lược và kế hoạch: Xây dựng chiến lược tổng thể về dữ liệu và AI cho toàn công ty, bao gồm mục tiêu, ưu tiên, lộ trình phát triển và các lĩnh vực ứng dụng tiềm năng. Lập kế hoạch hoạt động chi tiết cho trung tâm, bao gồm các dự án, nguồn lực cần thiết và các chỉ số đo lường hiệu quả (KPIs) cho cả mảng dữ liệu và AI. 2. Quy hoạch và quản trị dữ liệu toàn công ty: Thiết lập và quản lý hệ thống thu thập, lưu trữ, làm sạch và tích hợp dữ liệu từ tất cả các nguồn trong công ty (dữ liệu người dùng từ các nền tảng, dữ liệu nội bộ từ các hệ thống nghiệp vụ). Xây dựng các quy trình và tiêu chuẩn về quản trị dữ liệu, đảm bảo tính chính xác, bảo mật, khả năng truy cập và tuân thủ các quy định pháp luật liên quan Phát triển và duy trì kho dữ liệu tập trung (Enterprise Data Warehouse hoặc Data Lake) hoặc các nền tảng dữ liệu phù hợp để phục vụ cho mục đích phân tích và ứng dụng AI. Đảm bảo khả năng truy cập và sử dụng dữ liệu hiệu quả cho các bộ phận và các dự án AI Báo cáo & trực quan hóa dữ liệu: Xây dựng dashboard theo thời gian thực để hỗ trợ ra quyết định. Cung cấp báo cáo định kỳ cho Ban lãnh đạo & các bộ phận liên quan. Xây dựng công cụ phân tích dành cho khách hàng (ví dụ: dự báo giá BĐS, tính toán lợi nhuận đầu tư). 3. Phát triển và ứng dụng AI trên toàn công ty: Xác định các cơ hội ứng dụng AI trong các lĩnh vực khác nhau của kinh doanh (marketing, bán hàng, sản phẩm, vận hành, tài chính, nhân sự, v.v.). Nghiên cứu, phát triển và tích hợp AI vào các sản phẩm/dịch vụ phù hợp với nhu cầu và bài toán của từng bộ phận. Quản lý vòng đời của các ứng dụng AI, từ giai đoạn ý tưởng, phát triển, triển khai đến giám sát và bảo trì. Đánh giá hiệu quả và tối ưu hóa các ứng dụng AI đã triển khai, đảm bảo mang lại giá trị kinh doanh cụ thể. 4. Quản lý đội ngũ: Tuyển dụng, đào tạo, quản lý và phát triển đội ngũ chuyên gia về kỹ sư dữ liệu, nhà phân tích dữ liệu, nhà khoa học dữ liệu, kỹ sư AI, chuyên gia học máy và các vị trí liên quan khác. Phân công công việc, thiết lập mục tiêu và đánh giá hiệu suất của các thành viên trong nhóm. Xây dựng môi trường làm việc hợp tác, sáng tạo và khuyến khích học hỏi."
IT Recruiter,1,0.03,"Recruitment Lập kế hoạch và triển khai full-cycle tuyển dụng: Sourcing, Interview, Offer, Onboard. Trực tiếp tuyển các vị trí key positions và các vị trí khác đảm bảo nhu cầu vận hành. Đảm bảo timeline tuyển dụng đúng hạn với ứng viên chất lượng cao. Xây dựng và phát triển Talent Pool: chủ động mở rộng nguồn ứng viên thụ động và duy trì kết nối với các ứng viên tiềm năng. Nắm bắt nhu cầu tuyển dụng, tư vấn về nhu cầu nhân sự, chân dung ứng viên và chiến lược tuyển dụng phù hợp. Tham gia xây dựng tiêu chí đánh giá ứng viên cho từng phòng ban, đảm bảo độ phù hợp về năng lực và văn hóa. Theo dõi các chỉ số tuyển dụng, báo cáo định kỳ và đưa ra insight cải tiến quy trình tuyển dụng. Employer Branding Phối hợp triển khai nội dung và xây dựng tuyển dụng trên các kênh LinkedIn, Facebook, TikTok,... và cộng đồng Tech/Game. Tham gia tổ chức các hoạt động tuyển dụng: job fair, chương trình ứng viên tiềm năng,... Mở rộng sự hiện diện của Braly trong các cộng đồng công nghệ và sự kiện ngành App/Game."
Game Operations Specialist,1,0.03,"Test và đánh giá các sản phẩm trên thị trường; Kiểm tra nội dung game mới (hoặc các bản update) và hiệu chỉnh lỗi; Phân tích các chỉ số, lên kế hoạch tổ chức hoạt động in-game; Xử lý các sự cố và vấn đề mà người chơi gặp phải; Lên ý tưởng để xây dựng các trang web sự kiện. Chuẩn bị cho quá trình phát hành game với các team và đối tác"
Revit Tools Developer,1,0.03,"Phát triển Tools Revit Structure Lập trình Plugin cho Revit bằng ngôn ngữ C#, Revit API Phân phối và hướng dẫn Tools cho nhóm về Revit Tham gia lập kế hoạch phát triển tự động hóa Revit Hỗ trợ xử lý bản vẽ Revit khi có yêu cầu từ quản lý trực tiếp Báo cáo hiệu quả cải tiến"
Game Analyst,1,0.03,"Phân tích thị trường, sản phẩm game trên thế giới, đối thủ cạnh tranh, nghiên cứu về tâm lý, nhu cầu, chân dung và hành vi của người dùng một cách có hệ thống để thu thập và phân tích dữ liệu, cung cấp cho quá trình thiết kế game. Đo lường và phân tích các chỉ số của sản phẩm. Phối hợp chặt chẽ với đội sản xuất để lên ý tưởng và kịch bản cho các sản phẩm game. Nhập list danh sách game vào kho số liệu, theo dõi đánh giá sản phẩm qua từng giai đoạn Báo cáo hàng tuần tình hình thị trường, sản phẩm cho trưởng bộ phận. Tiếp nhận công việc của leader, báo cáo tình hình công việc được leader giao hàng tuần"
IT Sales Engineer,1,0.03,"Bóc tách lên được bom thư tư vấn cho khách hàng. Lập được báo giá, dự toán phù hợp theo quy định pháp luật; Kiểm soát chất lượng, tiến độ của Dự án. Chi tiết công việc trao đổi thêm khi phỏng vấn Ưu tiên ứng viên đã có kinh nghiệm và biết làm thầu"
IT Teacher,1,0.03,"- Xây dựng phân phối chương trình môn Information Technology của các lớp đầu năm học (bao gồm long term, medium term/syllabus và short term plan của môn học) với đối tượng học sinh bậc THPT (Lớp 10-12); - Trực tiếp giảng dạy (dạy bằng tiếng Anh) theo phân phối chương trình và thời khóa biểu được phân công; - Xây dựng và lưu trữ theo quy định giáo án môn Information Technology (bao gồm giáo án, slide học tập, work sheet...), bảo đảm bộ giáo án đảm đúng phân phối chương trình, đúng năng lực học sinh, có điều chỉnh phù hợp yêu cầu học tập thực tế từng lớp học; - Soạn Unit Test môn Information Technology; - Soạn đề kiểm tra môn Information Technology trong năm học bao gồm 04 đề (bao gồm đề dự phòng): giữa kỳ và cuối kỳ học kỳ 1 và học kỳ 2; - Bồi dưỡng, hỗ trợ và luyện tập phù hợp cho học sinh trong quá trình học tập và trước các kì thi; - Tutor cho học sinh 1-2 buổi/tuần (mỗi buổi khoảng 30’ – 1h00); - Theo dõi học sinh học và điều chỉnh chương trình học/giáo án phù hợp với năng lực học sinh từng lớp; - Họp chuyên môn, bồi dưỡng giáo viên theo định hướng chương trình; - Tham gia xây dựng hoàn thiện chương trình quốc tế đặc thù ;"
SDK Developer,1,0.03,"SDK architecture & API design: design and own the JavaScript SDK that exposes Super App platform capabilities to mini app developers; define clean, versioned, backward-compatible API contracts; think deeply about naming, ergonomics, and long-term extensibility. Native bridge layer: implement the JS - Native bridge (WebView postMessage / JSBridge protocol) that connects JavaScript SDK calls to native iOS and Android capabilities; coordinate closely with mobile engineers on message schemas, error handling, and performance. Core platform APIs: build and maintain SDK modules covering authentication & identity (SSO, token exchange), payments (partner gateway integration, wallet, QR), navigation & routing (inter-app deep links), device APIs (camera, location, biometrics, clipboard, storage), notifications, and analytics/event tracking. Mini app lifecycle management: implement SDK hooks for mini app lifecycle events (launch, foreground, background, teardown); manage session state, sandboxing constraints, and secure context isolation between mini apps. Security & compliance: enforce origin validation, capability-based permission model, content security policy, token handling, and data minimization across all SDK APIs; work with the security team to prevent unauthorized capability escalation. Developer experience: write clear, accurate API references, integration guides, and code samples targeting external mini app developers; design error messages that are actionable; maintain a versioned changelog. SDK distribution & versioning: manage SDK packaging (npm / CDN bundle), semantic versioning, deprecation cycles, and backward compatibility guarantees; implement feature flags within the SDK to support staged rollouts of new capabilities. Testing & quality: build and maintain unit tests, integration tests, and a test harness that allows SDK behavior to be validated against simulated native responses; own the SDK CI pipeline. Cross-functional collaboration: work closely with iOS/Android engineers, backend API teams, BA, security, and external partner developers to align on contracts, unblock integrations, and ship platform capabilities end-to-end."
Data Labeling Coordinator,1,0.03,"Mức lương: Lương cứng lên tới 15-18 triệu/ tháng Giờ làm: 40 giờ/tuần từ thứ 2 đến thứ 6 Địa điểm làm việc (dự kiến): PREP Đà Nẵng - số 35 Thái Phiên, Hải Châu, Đà Nẵng Nghiên cứu chuyên sâu về các khía cạnh trong ngôn ngữ Anh để phục vụ cho việc xây dựng sản phẩm E-learning tích hợp AI theo định hướng của công ty Tham gia thiết kế học liệu và tổ chức workshop, ghi hình chia sẻ về kinh nghiệm học và ôn thi các chứng chỉ như IELTS, TOEIC..v..v khi được yêu cầu. Nghiên cứu sâu về hệ thống và sản phẩm để đề xuất các cải thiện hoặc các sáng kiến mới Đánh giá dữ liệu cho team AI, xây dựng quy trình, tiêu chuẩn đánh giá dữ liệu để áp dụng diện rộng Nghiên cứu về cấu trúc, hệ thống điểm, cách chấm điểm các kì thi tiếng Anh hiện có trên thị trường Tiến hành gán nhãn (label) cho dữ liệu liên quan đến kiến thức, bài học và đề thi tiếng Anh (IELTS, TOEIC, ...). Đảm bảo tính chính xác, đầy đủ và nhất quán trong quá trình gán nhãn theo hướng dẫn. Là cầu nối của team Học thuật và team AI để cập nhật guideline, sửa lỗi nhãn và tham gia thử nghiệm và cải tiến quy trình dán nhãn, kiểm soát chất lượng dữ liệu. Lên kế hoạch và triển khai dự án labeling: phân bổ đầu việc, timeline, số lượng và deadline cụ thể. Quản lý tiến độ các dự án labeling: theo dõi tiến độ, tổng hợp báo cáo, kiểm tra chất lượng. Điều phối và hỗ trợ đội nhóm outsource trong việc gán nhãn dữ liệu. Tham gia các hoạt động nội bộ, hỗ trợ nhóm học thuật khi cần thiết. Tham gia thử nghiệm và cải tiến quy trình kiểm soát chất lượng dữ liệu. Thực hiện các công việc khác theo sự phân công của cấp trên."
Technical Consultant,1,0.03,"Hỗ trợ đội ngũ kinh doanh trong việc tư vấn và giới thiệu các sản phẩm, giải pháp của Panduit tới khách hàng và đối tác. Cung cấp các thông tin kỹ thuật cơ bản liên quan đến hạ tầng mạng, hệ thống cáp cấu trúc và các sản phẩm Panduit. Hỗ trợ giải đáp các câu hỏi kỹ thuật của khách hàng trong quá trình trước và sau bán hàng. Chuẩn bị tài liệu kỹ thuật, báo giá, đề xuất giải pháp và bài trình bày cho khách hàng khi cần. Tham gia các buổi gặp gỡ khách hàng, giới thiệu sản phẩm hoặc đào tạo cơ bản về sản phẩm. Phối hợp với các bộ phận nội bộ (Kinh doanh, Sản phẩm, Kỹ thuật) để hỗ trợ triển khai các cơ hội dự án. Chủ động học hỏi và cập nhật kiến thức về sản phẩm, công nghệ và xu hướng thị trường."
Game Producer,1,0.03,"We are looking for an English-speaking Game Producer to coordinate communication between our internal development team and international publishing partners. This role will help manage project progress, organize communication, and ensure smooth collaboration with our global partners. The ideal candidate has experience working in a game studio or publisher and understands the game development process. Responsibilities Coordinate communication between internal teams (developers, artists, designers) and international partners/publishers Participate in and organize meetings and calls in English Track project progress, milestones, and deliverables Help manage production timelines and task priorities Document meeting notes and ensure clear communication across teams Help remove blockers and support the development team when needed"
Software Renewal Specialist,1,0.03,"Quản lý danh sách khách hàng đang sử dụng dịch vụ, theo dõi thời hạn hợp đồng và tình trạng sử dụng. Chủ động liên hệ khách hàng trước thời điểm hết hạn để nhắc gia hạn, tái ký hợp đồng. Thực hiện đàm phán, chốt gia hạn, tái mua, bảo trì hoặc nâng cấp dịch vụ. Chăm sóc và duy trì mối quan hệ với khách hàng hiện hữu. Phối hợp xử lý phản hồi, sự cố và kết nối khách hàng với bộ phận liên quan khi cần. Theo dõi mức độ sử dụng và nhận diện sớm khách hàng có nguy cơ rời bỏ. Thực hiện upsell/cross-sell theo chính sách công ty. Cập nhật đầy đủ thông tin khách hàng, lịch sử tương tác trên hệ thống CRM."
System Integration Engineer,1,0.03,"Nghiên cứu, tìm hiểu các giải pháp, tích hợp, sản phẩm công nghệ mới, công nghệ thông tin, điện tử, viễn thông, IoT, phần cứng, phần mềm. Đề xuất và xây dựng các giải pháp cho khách hàng, bao gồm các tài liệu kỹ thuật đề xuất, bản vẽ... Nhận kế hoạch và triển khai công việc theo sự quản lý của Trưởng Phòng. Lập kế hoạch và tham gia vào quá trình triển khai dự án, bao gồm phối hợp với đối tác, thu thập và xử lý các yêu cầu phía khách hàng. Nghiệm thu, bàn giao hàng hóa và đào tạo hướng dẫn sử dụng thiết bị. Tham gia nghiên cứu, sản xuất các sản phẩm, dịch vụ trong mảng điện tử, viễn thông, mạng, phần mềm."
Shopify Developer,1,0.03,"Develop, test, and maintain custom Shopify apps using Node.js, React, and Next.js. Design and develop AI chatbot systems, integrating LLMs such as OpenAI and Gemini with frameworks like LangChain. Build and optimize RAG pipelines, semantic/vector search, and LLM workflows for scalable, efficient, and high-quality AI responses. Integrate with Shopify APIs (Admin API, Storefront API, Webhooks) and third-party services. Collaborate with designers and product managers to deliver high-quality features and UX. Write clean, maintainable, and efficient code following best practices. Troubleshoot and debug issues to ensure optimal app performance. Keep up to date with Shopify ecosystem updates, API changes, and new development tools."
Game Level Designer,1,0.03,"Thiết kế màn chơi (level design) cho game di động: - Dựa trên các vật phẩm và cách chơi của game để phát triển các thiết kế màn chơi trong game theo yêu cầu của Studio - Sáng tạo và đề xuất các item và cách chơi mới cho game đặc biệt là các game giải đố. - Phối hợp với các thành viên trong nhóm phát triển để đảm bảo tính nhất quán về phong cách và chất lượng thiết kế màn chơi trong suốt quá trình phát triển game. Tối ưu hóa và điều chỉnh cân bằng cho game di động: - Dựa trên dữ liệu về cách chơi và người dùng tương tác với game, đề xuất các phương án điều chỉnh để cân bằng được mức độ khó dễ cho các màn chơi. - Đề xuất các phương án cải thiện màn chơi, đồ họa, cách chơi để đảm bảo tối ưu giữa khai thác quảng cáo và giữ chân người chơi. Tương tác và Hợp tác: - Làm việc chặt chẽ với đội ngũ lập trình viên, thiết kế đồ họa và quản trị dự án để đảm bảo sản phẩm cuối cùng đáp ứng yêu cầu về mặt nghệ thuật và kỹ thuật. - Tham gia vào các buổi họp brainstorming, phản hồi và chỉnh sửa sản phẩm dựa trên ý kiến đóng góp từ đội ngũ."
App Monetization Specialist,1,0.03,"Được đào tạo về nghiệp vụ và kiến thức về chuyên môn Training on job, đào tạo trực tiếp: ○ Tối ưu eCPM trên các Ad Mediation ○ Tối ưu kịch bản khai thác quảng cáo trên sản phẩm ○ Phối hợp cùng Marketing Team: Đánh giá hiệu quả khai thác người dùng trên các Ad network khác nhau, Phân tích tập người dùng phù hợp và lên kế hoạch đưa sản phẩm lên đứng Top Global ○ Phối hợp cùng BI team (Business Intelligence): Đưa ra các bài toán gặp phải khi tối ưu eCPM, kịch bản khai thác, tập user, doanh thu quảng cáo, Đóng góp ý tưởng và giải quyết những bài toán gặp phải ○ Làm việc với các đối tác Ad Network: Google, Admob, Facebook, Unity, ironSource, Applovin,... Thực hiện các công việc khác theo sự phân công của Quản lý trực tiếp"
Technical Advisor,1,0.03,"Phối hợp với bộ phận kinh doanh, marketing, tư vấn và thực hành kĩ thuật, hỗ trợ kỹ thuật cho khách hàng Tham gia nghiên cứu, phát triển sản phẩm mới. Cập nhật sản phẩm mới từ nhà cung cấp Phát triển ứng dụng mới từ các nguyên liệu, sản phẩm của công ty Cập nhật công nghệ mới, xu hướng thị trường để áp dụng cho các sản phẩm của Công ty Đào tạo nội bộ hoặc đào tạo khách hàng về các sản phẩm của Công ty Tham gia tổ chức workshop, seminar theo chiến lược sales và marketing của Công ty Tham gia các chương trình đào tạo từ nhà cung cấp, đối tác trong và ngoài nước Thực hiện các nhiệm vụ khác theo phân công của Ban Giám đốc/Quản lý trực tiếp."
Technical Manager,1,0.03,"Mục tiêu chính Lãnh đạo và quản lý hoạt động kỹ thuật hỗ trợ sản xuất linh kiện điện tử (bao gồm thiết kế chi tiết sản phẩm, thiết kế jig/fixture, thiết kế fixture test, hỗ trợ quy trình, cải tiến năng suất và chất lượng). Đảm bảo mọi công việc kỹ thuật đáp ứng yêu cầu kỹ thuật, tiến độ, chi phí, an toàn và tiêu chuẩn khách hàng. Là cầu nối kỹ thuật giữa R&D, sản xuất, QC, Process Engineering, mua hàng và khách hàng (đặc biệt với nhà cung cấp/khách hàng Trung Quốc). Nhiệm vụ chính Quản lý hoạt động ENG: thiết kế/điều chỉnh bản vẽ cơ khí, chuyển giao BOM kỹ thuật, tài liệu sản xuất, hướng dẫn lắp ráp và tài liệu kiểm tra. Phát triển, duy trì và cải tiến quy trình sản xuất cho các sản phẩm/chassis/chi tiết linh kiện; phối hợp với Process Engineering để standardize công đoạn. Thiết kế, quản lý và bảo trì jigs, fixtures, tooling, và fixture test; đảm bảo sẵn sàng, hiệu chuẩn và hiệu năng phù hợp. Hỗ trợ giải pháp test & đo lường: phát triển test plan, test procedure, quản lý thiết bị đo & test, giám sát hiệu chuẩn. Thực hiện và quản lý dự án kỹ thuật: đưa ra timeline, chi phí, đánh giá rủi ro, phối hợp đa phòng ban, nghiệm thu kết quả. Hỗ trợ xử lý kỹ thuật khi xảy ra NCR/NC/khuyết tật: phân tích lỗi, root cause analysis (RCA), đề xuất CAPA và theo dõi hiệu quả thực hiện. Cung cấp hỗ trợ kỹ thuật cho vận hành dây chuyền, đào tạo vận hành/đào tạo sản phẩm mới cho nhân sự sản xuất và QC. Quản lý tài liệu kỹ thuật (SOP, WI, bản vẽ, FMEA, Control Plan, Work Instruction) và đảm bảo phiên bản áp dụng trên sản xuất là bản chính xác. Tham gia tiếp nhận sản phẩm mới (New Product Introduction - NPI): từ thiết kế sang sản xuất, pilot run, giai đoạn ramp-up và chuyển giao cho sản xuất hàng loạt. Đảm bảo tuân thủ tiêu chuẩn khách hàng, ESD/MSL, quy định an toàn và các yêu cầu chứng nhận liên quan. Liên hệ và hợp tác với nhà cung cấp công nghệ/thiết bị/đơn vị gia công, đặc biệt hỗ trợ giao tiếp kỹ thuật bằng tiếng Trung khi cần."
Employer Branding Specialist,1,0.03,"Position Overview: SSI is looking for a creative and proactive Employer Branding Collaborator to support the development and execution of employer branding initiatives. This role is ideal for final-year students or fresh graduates who are passionate about branding, communications, and talent engagement. Key Responsibilities: Support the planning and execution of employer branding campaigns across digital and offline channels. Design creative visual content (social media posts, recruitment materials, etc.) aligned with SSI’s employer brand guidelines. Assist in managing and growing employer branding channels (LinkedIn, Facebook, career website, etc.). Coordinate with HR, Marketing, and vendors to organize recruitment events, career fairs, and internal engagement activities. Contribute ideas for content themes, branding concepts, and communication strategies to attract young talents. Support content writing for recruitment posts, employee stories, and internal communications."
Sales Engineer,1,0.03,"Sales Engineer là cầu nối giữa đội ngũ kinh doanh và kỹ thuật, đóng vai trò quan trọng trong việc tư vấn giải pháp kỹ thuật, hỗ trợ presales và thúc đẩy quá trình chốt hợp đồng. Sales Engineer làm việc trực tiếp với khách hàng và đội ngũ bán hàng để xác định nhu cầu, thiết kế giải pháp, trình bày demo, và đảm bảo khách hàng hiểu rõ giá trị công nghệ được cung cấp. Mô tả chung: Tư vấn kỹ thuật cho các sản phẩm, giải pháp an toàn thông tin như Phân tích nhu cầu và yêu cầu kỹ thuật của khách hàng, đề xuất giải pháp phù hợp về mặt công nghệ và ngân sách. Thực hiện demo, PoC, trình diễn giải pháp, hỗ trợ bộ phận kinh doanh thuyết phục khách hàng. Soạn thảo tài liệu kỹ thuật, bản chào hàng, hồ sơ dự thầu, hỗ trợ đấu thầu theo yêu cầu dự án. Tham gia các buổi hội thảo, đào tạo kỹ thuật, chương trình marketing, xây dựng tài liệu giải pháp. Cập nhật liên tục các kiến thức sản phẩm từ hãng, tham gia các khóa đào tạo và lấy chứng chỉ (nếu cần). Là đầu mối phối hợp giữa bộ phận kinh doanh – kỹ thuật triển khai – đối tác công nghệ trong suốt quá trình bán hàng."
Product Configuration Specialist,1,0.03,"Phối hợp cùng team R&D và Designer để hoàn thiện nguyên liệu thiết kế sản phẩm (Sản phẩm quà tặng cá nhân hóa online bên trên các website của công ty). Sử dụng tư duy logic, triển khai xây dựng sản phẩm hoàn chỉnh thông qua App Customily. (App Customily là một nền tảng thiết kế tùy chỉnh sản phẩm). Phối hợp cùng team leader kiểm soát chặt chẽ chất lượng đầu ra của sản phẩm. Tham gia các nhiệm vụ khác theo sự phân công của quản lý."
Functional Safety Engineer,1,0.03,"Plan, coordinate, and support the functional safety activities for innovative projects across the complete development cycle. Serve as the primary point of contact with customers regarding functional safety, including negotiating and signing Development Interface Agreements (DIAs). Define safety requirements at the product level in collaboration with customers. Develop safety concepts, including safety architecture and safety mechanisms. Derive hardware and software safety requirements from the safety concept. Perform safety analyses, including FMEDA, DFA, and FTA. Evaluate hardware safety metrics (PMHF, SPFM, LFM). Represent functional safety to project managers, customers, and department management. Manage functional safety development processes to ensure compliance with the ISO 26262 standard. Continuously improve development flow and methodology based on ISO 26262 recommendations. Promote a safety culture within the local team through training and awareness initiatives."
